premierelocatie_id,relatie,value
138753,adres,
138753,stad,Groningen
138753,postcode,None
138753,land,Nederland
135354,naam,locatie : Nieuwmarktbuurt
135354,adres,None
135354,stad,Amsterdam
135354,postcode,None
135354,land,Nederland
134613,naam,Parc de la Villette
134613,adres,None
134613,stad,Paris
134613,postcode,None
134613,land,Frankrijk
131780,naam,Gravensteen
131780,adres,None
131780,stad,Gent
131780,postcode,9000
131780,land,België
135180,naam,Zaal de Zonnebloem
135180,adres,Ieperstraat 35
135180,stad,Oostende
135180,postcode,8400
135180,land,België
136432,naam,RITS/Bottelarij
136432,adres,Delaunoystraat 58
136432,stad,Molenbeek
136432,postcode,1080
136432,land,België
140160,naam,Royal Exchange Theatre
140160,adres,
140160,stad,Manchester
140160,postcode,None
140160,land,Groot-Brittannië
134180,naam,Stuczaal
134180,adres,E. Van Evenstraat 2d
134180,stad,Leuven
134180,postcode,3000
134180,land,België
136301,naam,Studio 18
136301,adres,Nieuwevaart 118
136301,stad,Gent
136301,postcode,9000
136301,land,België
130911,naam,Nieuwpoorttheater
130911,adres,Nieuwpoort 35
130911,stad,Gent
130911,postcode,9000
130911,land,België
135724,naam,De Kriekelaar
135724,adres, Gallaitstraat 86
135724,stad,Schaarbeek
135724,postcode,1030
135724,land,België
139826,naam,"Sloepenweg, Droogdokkeneiland"
139826,adres,
139826,stad,Antwerpen
139826,postcode,None
139826,land,België
137098,naam,Rodetorenkaai
137098,adres,Dampoortstraat
137098,stad,Gent
137098,postcode,9000
137098,land,België
139455,naam,Oedenkovenstraat
139455,adres,
139455,stad,Borgerhout
139455,postcode,None
139455,land,België
139356,naam,De Matterhorn
139356,adres,
139356,stad,Antwerpen
139356,postcode,None
139356,land,België
134392,naam,Sandfield Centre
134392,adres,None
134392,stad,Nottingham
134392,postcode,None
134392,land,Groot-Brittannië
134657,naam,Oostends Varieté Theater
134657,adres,Cristianastraat 20
134657,stad,Oostende
134657,postcode,8400
134657,land,België
139795,naam,Spoor Oost
139795,adres,
139795,stad,Antwerpen
139795,postcode,None
139795,land,België
137426,naam,AINSI
137426,adres,Lage Kanaaldijk 112-113
137426,stad,Maastricht
137426,postcode,6212 NA
137426,land,Nederland
134052,naam,CC 't Getouw
134052,adres,Molenhoekstraat 2
134052,stad,Mol
134052,postcode,2400
134052,land,België
138798,naam,Permeke
138798,adres,
138798,stad,Antwerpen
138798,postcode,None
138798,land,België
132379,naam,de Rode Pomp
132379,adres,Nieuwpoort 57
132379,stad,Gent
132379,postcode,9000
132379,land,België
137883,naam,Zürcher Theater Spektakel
137883,adres,Stadthausquai 17 
137883,stad,Zürich
137883,postcode,8001 Zürich
137883,land,Zwitserland
131533,naam,Bourla
131533,adres,Jodenstraat 3
131533,stad,Antwerpen
131533,postcode,2000
131533,land,België
138437,naam,op locatie
138437,adres,
138437,stad,Ibiza
138437,postcode,07800
138437,land,Spanje
138247,naam,La Bonbonnière
138247,adres,Achter de Comedie 1
138247,stad,Maastricht
138247,postcode,6211 GZ
138247,land,Nederland
138186,naam,Teatre Lliure
138186,adres,"plaça margarida xirgu, 1"
138186,stad,Barcelona
138186,postcode,08001 - 08080
138186,land,Spanje
134239,naam,KVS/de Bottelarij
134239,adres,Delaunoystraat 58
134239,stad,Molenbeek
134239,postcode,1080
134239,land,België
131669,naam,Groenplaats
131669,adres,None
131669,stad,Antwerpen
131669,postcode,2000
131669,land,België
140369,naam,Chelsea Theatre
140369,adres,
140369,stad,London
140369,postcode,None
140369,land,Groot-Brittannië
133538,naam,PCT Dommelhof
133538,adres,Toekomstlaan 5
133538,stad,Neerpelt
133538,postcode,3910
133538,land,België
131315,naam,GC de Maalbeek
