subsidie_id,relatie,value
14490,subsidietype,projectbeurs_4
14490,subsidiecomite,andere_13
14490,subsidiërende instantie,Kunstendecreet_1
14491,subsidiesysteem,Projecten internationaal_632
14491,beginjaar,2006
14491,eindjaar,2006
14491,subsidietype,projectbeurs_4
14491,subsidiecomite,andere_13
14491,subsidiërende instantie,Kunstendecreet_1
14493,subsidiesysteem,Projecten muziektheater_616
14493,organisatie,Tirasila_363081
14493,beginjaar,2006
14493,eindjaar,2006
14493,subsidietype,projectbeurs_4
14493,subsidiecomite,muziektheater_12
14493,subsidiërende instantie,Kunstendecreet_1
14494,subsidiesysteem,Projecten muziektheater_616
14494,organisatie,Arthur_371333
14494,beginjaar,2006
14494,eindjaar,2006
14494,subsidietype,projectbeurs_4
14494,subsidiecomite,muziektheater_12
14494,subsidiërende instantie,Kunstendecreet_1
14495,subsidiesysteem,Projecten muziektheater_616
14495,organisatie,Corban_369031
14495,beginjaar,2006
14495,eindjaar,2006
14495,subsidietype,projectbeurs_4
14495,subsidiecomite,muziektheater_12
14495,subsidiërende instantie,Kunstendecreet_1
14497,subsidiesysteem,Projecten muziektheater_616
14497,organisatie,Verdin Walter_360789
14497,beginjaar,2006
14497,eindjaar,2006
14497,subsidietype,projectbeurs_4
14497,subsidiecomite,muziektheater_12
14497,subsidiërende instantie,Kunstendecreet_1
14498,subsidiesysteem,Projecten muziektheater_616
14498,organisatie,Urban Chamber Music_370836
14498,beginjaar,2006
14498,eindjaar,2006
14498,subsidietype,projectbeurs_4
14498,subsidiecomite,muziektheater_12
14498,subsidiërende instantie,Kunstendecreet_1
14500,subsidiesysteem,Projecten muziektheater_616
14500,beginjaar,2006
14500,eindjaar,2006
14500,subsidietype,projectbeurs_4
14500,subsidiecomite,muziektheater_12
14500,subsidiërende instantie,Kunstendecreet_1
14502,subsidiesysteem,Projecten muziektheater_616
14502,organisatie,De Schedelgeboorten_371274
14502,beginjaar,2006
14502,eindjaar,2006
14502,subsidietype,projectbeurs_4
14502,subsidiecomite,muziektheater_12
14502,subsidiërende instantie,Kunstendecreet_1
14504,subsidiesysteem,Projecten muziektheater_616
14504,organisatie,Het Verbond_371334
14504,beginjaar,2006
14504,eindjaar,2006
14504,subsidietype,projectbeurs_4
14504,subsidiecomite,muziektheater_12
14504,subsidiërende instantie,Kunstendecreet_1
14505,subsidiesysteem,Projecten muziektheater_616
14505,organisatie,Stichting voor Cultuur Maaseik_371343
14505,beginjaar,2006
14505,eindjaar,2006
14505,subsidietype,projectbeurs_4
14505,subsidiecomite,muziektheater_12
14505,subsidiërende instantie,Kunstendecreet_1
14507,subsidiesysteem,Projecten theater_607
14507,organisatie,De Zeepcompagnie_369249
14507,beginjaar,2006
14507,eindjaar,2006
14507,subsidietype,projectbeurs_4
14507,subsidiecomite,theater_10
14507,subsidiërende instantie,Kunstendecreet_1
14508,subsidiesysteem,Projecten theater_607
14508,organisatie,Cinderella_370647
14508,beginjaar,2006
14508,eindjaar,2006
14508,subsidietype,projectbeurs_4
14508,subsidiecomite,theater_10
14508,subsidiërende instantie,Kunstendecreet_1
14510,subsidiesysteem,Projecten theater_607
14510,organisatie,De Parade_361110
14510,beginjaar,2006
14510,eindjaar,2006
14510,subsidietype,projectbeurs_4
14510,subsidiecomite,theater_10
14510,subsidiërende instantie,Kunstendecreet_1
14511,subsidiesysteem,Projecten theater_607
14511,organisatie,Zeven vzw_370519
14511,beginjaar,2006
14511,eindjaar,2006
14511,subsidietype,projectbeurs_4
14511,subsidiecomite,theater_10
14511,subsidiërende instantie,Kunstendecreet_1
14513,subsidiesysteem,Projecten theater_607
14513,organisatie,Bad van Marie_369497
14513,beginjaar,2006
14513,eindjaar,2006
14513,subsidietype,projectbeurs_4
14513,subsidiecomite,theater_10
14513,subsidiërende instantie,Kunstendecreet_1
14514,subsidiesysteem,Projecten theater_607
14514,organisatie,Theater Scharlaken dak_363190
14514,beginjaar,2006
14514,eindjaar,2006
14514,subsidietype,projectbeurs_4
14514,subsidiecomite,theater_10
14514,subsidiërende instantie,Kunstendecreet_1
14519,subsidiesysteem,Projecten theater_607
14519,organisatie,Fortinbras_371345
14519,beginjaar,2006
14519,eindjaar,2006
14519,subsidietype,projectbeurs_4
14519,subsidiecomite,theater_10
14519,subsidiërende instantie,Kunstendecreet_1
14520,subsidiesysteem,Projecten theater_607
14520,organisatie,Stabada_371310
14520,beginjaar,2006
14520,eindjaar,2006
14520,subsidietype,projectbeurs_4
14520,subsidiecomite,theater_10
14520,subsidiërende instantie,Kunstendecreet_1
14524,subsidiesysteem,Projecten theater_607
14524,organisatie,Spelersgroep Ernst/Serieus_371311
14524,beginjaar,2006
