,Lijst van organisaties,Count van producties
999,Cimatics asbl,3
1000,HETGEVOLG,124
1001,LOD,103
1002,RUDA asbl,2
1003,Theaterwerkgroep Kopspel,1
1004,Phare Est,1
1005,ARType vzw,3
1006,Steigeisen,10
1007,Het nieuwstedelijk,19
1008,Kunsten en Erfgoed,1
1009,Exiles,4
1010,Het Ongerijmde,2
1011,Théâtre Des 2 Eaux,3
1012,"Wigbert, Filip Jordens & Bart Plouvier",1
1013,Eland Nieuwe Stijl,2
1014,Jan Martens/GRIP,1
1015,Anima Vinctum/Muziekkunst voor Dans & Theater,2
1016,Voetvolk,24
1017,Poppenspel Kiekeboe,9
1018,Tibaldus en andere hoeren,18
1019,Veva De Blauwe & Sara Vertongen,5
1020,Koninklijk Ballet van Vlaanderen,135
1021,TIL 2.3,8
1022,Bureau des Arts,2
1023,vzw Punt_O,1
1024,D°eFFeKt,4
1025,Het Banket,12
1026,Theater aan Zee (TarTarT),11
1027,Toneelatelier,1
1028,Momentum festival,2
1029,De Spelerij,14
1030,Retina Dance Company,13
1031,Mons 2015 Capitale européenne de la Culture,3
1032,Santé publiek,3
1033,Theater Tol,27
1034,Kunst/Werk,118
1035,GC De Vaartkapoen,1
1036,Podium Modern,6
1037,De Kleine Academie,2
1038,Theatercollectief Bleeding Bulls,6
1039,Behoud de Begeerte - Kunstencentrum voor literatuur,7
1040,FURIOSO VZW,1
1041,Corban,11
1042,CC Maasmechelen,8
1043,Visual Kitchen,1
1044,Mennomichieljozef vzw,7
1045,Karel Vingerhoets,8
1046,Stedelijke Muziekacademie Lier,1
1047,O'Kontreir,1
1048,De Bromvlieg,2
1049,Ronald Van Rillaer,4
1050,Paul Kenens Solo Circater,1
1051,Lujd,2
1052,Grensgeval,1
1053,PRiSMA,3
1054,De Wentelteefjes,1
1055,Kolka Kollektief,6
1056,Theatermakersgroep De Queeste,41
1057,Laagland,8
1058,Theater Spelende Mens,5
1059,Rode Boom,14
1060,Herring,1
1061,CAW Artevelde,1
1062,Post uit Hessdalen,3
1063,B12 vzw,6
1064,Het Bordes,16
1065,De Rivieren vzw,1
1066,Tutti Fratelli,17
1067,Ballet Vlaanderen,14
1068,Theater Speelman,6
1069,C&H,6
1070,BAFF,15
1071,NouS,1
1072,Podiumkunsten Bis Produkties,2
1073,kwaad bloed,46
1074,Nieuw Ensemble RaamTeater,71
1075,De Bijloke Muziekcentrum,6
1076,Edward vzw,14
1077,Dito'Dito,91
1078,Cacao Bleu,14
1079,TRANSLAB,1
1080,CC De Adelberg,1
1081,Ennesima,10
1082,Vlaamse Opera,179
1083,Jeugd en Muziek Orkest Antwerpen,1
1084,NONA,22
1085,Werkgroep voor Vormingstheater,16
1086,Kinderenvandevilla,7
1087,Let's Go Urban,2
1088,Cie 13 / Rosa Mei,1
1089,Violetta,1
1090,2fabrieken,10
1091,Stedelijk Instituut voor Sierkunsten en Ambachten - SISA,1
1092,Beursschouwburg,14
1093,Service To Others,3
1094,MaisonDahlBonnema,13
1095,De Vereeniging,2
1096,Klapstukfestival,28
1097,'t Spil - kollektief,6
1098,MARCANT PRODUCTIES,1
1099,dixit vzw,10
1100,Het Betoog,11
1101,De Zweep,5
1102,Villa Lobos vzw,12
1103,WALPURGIS,94
1104,Kunstenfestivaldesarts,66
1105,Kotterie Flamand,4
1106,UA (Universiteit Antwerpen),1
1107,BLOK-BLOC,2
1108,Maan en Zand,1
1109,De Parade,57
1110,Tirasila,18
1111,Het Laatste kwartier,2
1112,SPIN,19
1113,Hécate,2
1114,Limburgs Projekt Teater,3
1115,Klankfabriek vzw,1
1116,Nieuwpoorttheater,36
1117,Tuning people,34
1118,Kobalt Works,57
1119,Forsiti'A,1
1120,Robin vzw,1
1121,Marie Slik,1
1122,Lemm&Barkey,5
1123,La Oca Loca,12
1124,Eendhoorn,1
1125,Utopia,3
1126,Jeugd en Muziek Gent,1
1127,Laat in de noen,3
1128,STAU Collectief,1
1129,Andere Podia,2
1130,Okapuka,1
1131,Teater Leen Persijn,20
1132,m² (De Tijd),7
1133,Droomedaris-Rex,15
1134,Echt Antwaarps Teater,71
1135,Drie Vingers,7
1136,Gents Amusementstheater,7
1137,'t Gebroed,5
1138,Chez Jean-Jacques,2
