,Lijst van organisaties,Count van producties
203,De Dulle Roeckers,8
204,tok toc knock,2
205,Het Manifest,2
206,House Crying Yellow Tears,3
207,Maison de la Culture de Tournai,4
208,Chiclaboebp,1
209,Multatuli Theater,4
210,Mokum vzw,39
211,Theater de Waanzin,9
212,the great indoors,4
213,Victoria,167
214,De Theaterwerkplaats (PCT Dommelhof),17
215,Eric Raeves,13
216,Drie Pees,10
217,Mestizo Arts Festival,8
218,TG Vagevuur,14
219,KULeuven - Instituut voor Culturele Studies,1
220,De Zinderij,2
221,Brussels Brecht-Eislerkoor,1
222,Branch Nebula,3
223,Kung Fu,3
224,Muzaïk,1
225,Open Living,3
226,De Furie,4
227,Figurentheater De Maan,105
228,Perignem vzw,1
229,Wayn Traub,13
230,Teater Zwarte Meeuw,4
231,The Primitives,13
232,KoudVuur,3
233,Theater aan de Stroom,39
234,Commission art numérique,1
235,Le Groupe Sanguin,1
236,Free Art Dance Co,1
237,Krikri,2
238,Artesis Hogeschool Antwerpen,2
239,Compagnie Jose Besprosvany,1
240,Het Gerucht,1
241,Les Fontenelles,1
242,De Veerman,3
243,Fond de Teint,1
244,Janus-Ensemble,17
245,Amgod,7
246,Lucilia Caesar,2
247,Phileas Productions,17
248,Kurt Defrancq,2
249,Buelens Paulina vzw,30
250,CC De Spil,4
251,Ozeddoe,2
252,Hogeschool Antwerpen / Herman Teirlinck Instituut,38
253,Listopa Dancetheatre,1
254,De kakkewieten,6
255,A Two Dogs Company,21
256,Het Bos,2
257,Jenny,4
258,In Utero,4
259,Riina Saastamoinen,2
260,Alkyonis,7
261,The Other,33
262,Bâtard,4
263,CC Gildhof,1
264,Rhythm Naturals,1
265,Peeping Tom,36
266,Tocht,4
267,Hendrik & Co,3
268,Kopspel,4
269,Agartha,1
270,Slow-up vzw,1
271,Spielmann vzw,1
272,Theaterwetenschappen Leuven,1
273,Wild Schaap,1
274,Cabra vzw,7
275,Swan Lake,11
276,Erfgoedcel Leuven,2
277,Olympique Dramatique,34
278,Villanella,86
279,Les Rêveurs Sont Maltraités,2
280,fABULEUS,159
281,Woestijn 93,31
282,de Bloedgroep,4
283,Yard Projects vzw,1
284,dust,1
285,La Cerisaie,1
286,Ballet Dommage,6
287,Leen Roels,2
288,Delgado Fuchs,1
289,Theaterbedrijf Het Woud,3
290,Silowaas 47,3
291,Theatergezelschap Drie,1
292,Compagnie Carlotta,25
293,Moldavië vzw / Randi De Vlieghe,4
294,Gommorah!,1
295,Banquine,1
296,Garden Of Delights,6
297,CAMPO,127
298,Erasmushogeschool Brussel / Departement Rits - Dramatische Kunst,149
299,Compagnie des Mutants,6
300,Moussem vzw,32
301,JOC Ieper,1
302,Sering,39
303,Vrijstaat O.,7
304,Cie Baladeu'x,5
305,Collectief gestrand,1
306,Sonja Augart & Katrien van Aerschot,1
307,Ulti'mates / Ultima Vez,6
308,Het Balkon,1
309,Villa Basta,1
310,Theaterwerkgroep Jonna,1
311,Els De Schepper,4
312,Festival van Vlaanderen,4
313,Op.Recht.Mechelen,1
314,CC De Kern,14
315,cirQ,1
316,Publiekstheater,60
317,Muziektheater De Zwarte Sneeuw,1
318,Un Oeuf Is Un Oeuf,5
319,De generaal in zijn tuin,1
320,Bloedgroep K,3
321,Anima Eterna,2
322,Zonzo Cie.,27
323,Daem Geertrui en de Baes Lieve,1
324,Roodvonk,4
325,Tg Schemering,8
326,Cinderella,14
327,Tour DeForce,1
328,Petri Dish,1
329,Anna's Steen,26
330,Shalala ehf.,1
331,Cie Side-Show,3
332,De Machienerie vzw,1
333,We Go,13
334,Twijfel,15
335,FC Bergman,24
