,Lijst van organisaties,Stad,Land,Postcode,Count van producties
506,Mahaworks,Gent,België,,2
507,Mouton Panurge,Neerpelt,België,,1
508,Îles Flottantes vzw,Genk,België,,1
509,Not Standing vzw,Roeselare,België,,3
510,Gezelschap van de Schone Schijn,Erpe - Mere,België,,4
511,Theatergroep Authentiek Antwerpen,Brasschaat,België,,2
512,Raymond van het Groenewoud,Brugge,België,,1
513,Phluïde Cie.,Brugge,België,,1
514,WorkSpaceBrussels - Brusselse Werkplaats voor Podiumkunsten,Brussel,België,,12
515,Compagnie Le Corridor,Liège,België,,10
516,CC De Werf,Aalst,België,,2
517,Jeugd en Muziek Vlaanderen,Brussel,België,,7
518,Theater Ivonne Lex,Antwerpen,België,,23
519,Margarita Production,Brussel,België,,81
520,Theater Ik & Ik,Dilbeek,België,,1
521,deepblue,Brussel,België,,41
522,CC Ekeren,Ekeren,België,,1
523,CC De Adelberg,Lommel,België,,1
524,aredlineproject,Dilsen-Stokkem,België,,1
525,Roberto Oliván,Brussel,België,,2
526,Teater Rabarber,Bonheiden,België,,2
527,Cie. Coup Contrecoup,Gentbrugge,België,,6
528,Wrong Ass. / In the Wrong,Brussel,België,,1
529,LAP vzw,Hasselt,België,,8
530,Wortel,Gent,België,,1
531,Cultuurmarkt van Vlaanderen,Antwerpen,België,,1
532,Forsiti'A,Brussel,België,,1
533,Leefgroep de Panda,Brussel,België,,3
534,O'Kontreir,Berchem,België,,1
535,Théâtre de la Place,Liège,België,,1
536,Lieflamd,Kasterlee,België,,2
537,De gebroeders Boudewijn,Antwerpen,België,,8
538,Het Bordes,Sint-Joost-ten-Node,België,,16
539,Buda Kunstencentrum,Kortrijk,België,,25
540,Bij' De Vieze Gasten,Gent,België,,47
541,Koninklijk Ballet van Vlaanderen,Antwerpen,België,,135
542,Jongerentheatercollectief Dagsoep,,België,,1
543,W.A.C.K.O,Kasterlee,België,,5
544,TIL 2.3,Antwerpen,België,,8
545,Vaart,Leuven,België,,1
546,Theaterwerkgroep Jonna,Wilsele,België,,1
547,Eland Nieuwe Stijl,Brussel,België,,2
548,LRV-PRODUCTIES,Hoeselt,België,,11
549,into ici,Hasselt,België,,2
550,Kobalt Works,Brussel,België,,57
551,REFUG-collective,Brussel,België,,2
552,Ulti'mates / Ultima Vez,Sint-Jans-Molenbeek,België,,6
553,ZET 6,Ganshoren,België,,1
554,MEMIS,MECHELEN,België,,3
555,Théâtre de Namur,Namur,België,,4
556,Het Net,Brugge,België,,33
557,Mechels Miniatuur Teater,Mechelen,België,,90
558,Kunstencentrum Tor,Genk,België,,8
559,Exiles,Brussel,België,,4
560,Handelsbeurs,Gent,België,,1
561,Great investment,Brussel,België,,38
562,WArd/WaRD,Antwerpen,België,,49
563,Limburgs Projekt Teater,Beringen,België,,3
564,Cie Karin Vyncke / Aquilon vzw,Brussel,België,,27
565,Dunia,,België,,6
566,Collectif du Lion,Liège,België,,2
567,De Wentelteefjes,Gent,België,,1
568,Agora,Saint-Vith,België,,1
569,Kunsten en Erfgoed,Brussel,België,,1
570,Les Fontenelles,Kortrijk,België,,1
571,Chiclaboebp,Gent,België,,1
572,Maison du Spectacle - la Bellone,Bruxelles,België,,1
573,Spelersgroep Ernst/Serieus,Gent,België,,3
574,Zonzo Cie.,Antwerpen,België,,29
575,Sermoen Theatermakers,Gent,België,,8
576,TG Ting,Brussel,België,,5
577,"Riche, Riche & Riche",Brussel,België,,1
578,Studio Orka,Gent,België,,47
579,Artboem,Leuven,België,,3
580,Plankton Hotel,Sint-Jans-Molenbeek,België,,11
581,vzw Sontag,Gent,België,,4
582,Kosmonaut Production,Antwerpen,België,,9
583,Mechels Stadspoppentheater,Mechelen,België,,39
584,Theater de Waanzin,Mariakerke,België,,9
585,Tg Marcus,Antwerpen,België,,1
586,30CC,Leuven,België,,11
587,CC De Spil,Roeselare,België,,4
588,Tg Schemering,Antwerpen,België,,8
589,Brussel behoort ons toe - Bruxelles nous appartient,Brussel,België,,1
590,Novgorod vzw,Gent,België,,1
591,Redt & helpt uzelven en elkander,Impe-Lede,België,,1
592,Theater Tol,Antwerpen,België,,27
593,Maquette vzw,Schaarbeek,België,,3
594,ProMITHEus,Kessel-Lo,België,,2
595,Klankfabriek vzw,Tongeren,België,,1
596,Tour DeForce,Antwerpen,België,,1
597,Rhythm Naturals,Deurne,België,,1
598,Sight Of An Ignored Landscape,Brussel,België,,1
599,Eendhoorn,Antwerpen,België,,1
600,Cultuurcentrum Kortrijk,Kortrijk,België,,2
601,Santé publiek,Antwerpen,België,,3
602,Paul Coppens,Aalst,België,,2
603,Steigeisen,Brussel,België,,10
604,Kolka Kollektief,Berchem,België,,6
605,Roodvonk,Antwerpen,België,,4
606,Duizendeneen,Gent,België,,6
607,De Zeepcompagnie,Gent,België,,16
608,Mir/Oeral vzw,Hoboken,België,,1
609,Kreutzfeld Verein,Herentals,België,,1
610,Club Moral,Antwerpen,België,,3
611,Pilot Productions,,België,,1
612,Droomedaris-Rex,Kasterlee,België,,15
613,Cie. Abaroa,Brussel,België,,3
614,Tg Cactusbloem,Antwerpen,België,,3
615,Nat Gras,Antwerpen,België,,16
616,Victoria Deluxe,Gent,België,,30
617,Cie Baladeu'x,Brussel,België,,5
618,SuperBodies,Hasselt,België,,1
619,Arbeit.oderentweder,Antwerpen,België,,2
620,Mireille en Mathieu,Gent,België,,19
621,Behoud de Begeerte - Kunstencentrum voor literatuur,Antwerpen,België,,7
622,Eftuentafel,,België,,1
623,Lapzus,Berchem,België,,1
624,TREVOR vzw,,België,,2
625,SPIN,Brussel,België,,19
626,Fond de Teint,Kortrijk,België,,1
627,Andere Podia,Antwerpen,België,,2
628,Lampe,Brussel,België,,14
629,De Vereeniging,Gentbrugge,België,,2
630,CREW_eric joris,Brussel,België,,60
631,Rubio Strijkkwartet,,België,,1
632,Cava,Berchem,België,,5
633,Gents Amusementstheater,Gent,België,,7
634,Tweelicht & Zoon,Lier,België,,7
635,Lucilia Caesar,Bruxelles,België,,2
636,Theater Spelende Mens,Berchem,België,,5
637,das marionette,Gent,België,,2
638,Kowboy Kaos,Gent,België,,3
639,CC Genk,Genk,België,,6
640,Compagnie Frieda,Gent,België,,22
641,Defdef TheatreCompany,,België,,5
642,Open Circuit,Hasselt,België,,9
643,Theatercollectief Bleeding Bulls,Antwerpen,België,,6
644,Compagnie Aimé de Lignière,Antwerpen,België,,4
645,De Vikingen,Hove,België,,6
646,Roberta Dance Compagnie,Brussel,België,,1
647,Collectief Broom,,België,,2
648,Nova Zembla,Borgerhout (Antwerpen),België,,20
649,Kluster vzw,Neerpelt,België,,2
650,Pain Arts,Brussel,België,,2
651,FURIOSO VZW,Brussel,België,,1
652,Fort 33,Antwerpen,België,,4
653,"Wigbert, Filip Jordens & Bart Plouvier",Borgerhout,België,,1
654,De Vereniging van Enthousiasten voor het Reële & Universele VZW,Bornem,België,,8
655,Radical HeArts vzw,Kortrijk,België,,5
656,Stedelijke Muziekacademie Lier,Lier,België,,1
657,Visual Kitchen,Brussel,België,,1
658,CC Maasmechelen,Maasmechelen,België,,8
659,vzw Pamele,Kortrijk,België,,1
660,HERMESensemble,Antwerpen,België,,4
661,JazzLab Series,Gent,België,,2
662,Corban,Brussel,België,,11
663,Veerle Bakelants,Hoboken (Antwerpen),België,,7
664,de Filmfabriek,Bierbeek,België,,12
665,Mirakel,Brussel,België,,4
666,CAW Artevelde,Gent,België,,1
667,Chez Jean-Jacques,Gent,België,,2
668,Het Laatste kwartier,,België,,2
669,Théâtre Epique,Bruxelles,België,,1
670,Sandman,,België,,9
671,deSingel,Antwerpen,België,,18
672,MOPA,Elsene,België,,1
673,Zanzi vzw,Brussel,België,,2
674,Noordteater,Antwerpen,België,,3
675,Theater Tartaar, Lennik - Eizeringen,België,,11
676,Opera Mobile,Antwerpen,België,,8
677,TG Vagevuur,Gent,België,,14
678,Bad van Marie,Borgerhout (Antwerpen),België,,39
679,Muziektheater De Zwarte Sneeuw,Nijlen,België,,1
680,Barre Weldaad,Brussel,België,,55
681,Cie Side-Show,Brussel,België,,3
682,THEATER BESTEK,Leuven,België,,1
683,Cie Tartaren,Leuven,België,,19
684,CC Muze Heusden-Zolder,Heusden-Zolder,België,,1
685,Shalala ehf.,Brussel,België,,1
686,Utopia,Brussel,België,,3
687,Cie Mala Hierba,,België,,1
688,Usage Externe,Rummen,België,,1
689,Kloppend Hert,Gent - Gentbrugge,België,,9
690,CC De Ster,Willebroek,België,,2
691,Figurentheater De Maan,Mechelen,België,,105
692,Blauwe Maandag Compagnie,Gent,België,,22
693,De Kleine Academie,Brussel,België,,2
694,DROP PROD,,België,,4
695,deFilharmonie,Antwerpen,België,,5
696,Damaged Goods,Brussel,België,,131
697,De Verrukking,Antwerpen,België,,9
698,Mambocito Mio,Sint-Amandsberg,België,,4
699,Kung Fu,Gent,België,,3
700,Galothar,Vorst,België,,7
701,BLOK-BLOC,Anwerpen,België,,2
702,De Figuranten (Stimulans JIAC),Menen,België,,16
703,Tuning people,Antwerpen,België,,34
704,Cinderella,Brussel,België,,14
705,KunstZ,Antwerpen,België,,17
706,Koninklijke poppenschouwburg Van Campen,Brasschaat,België,,17
707,Kotterie Flamand,Sint-Gillis-Waas,België,,4
708,vzw Root,,België,,2
709,Open Living,Berchem,België,,3
710,Stuc,Leuven,België,,10
711,ARType vzw,Antwerpen,België,,3
712,CC Strombeek,Strombeek-Bever,België,,2
713,Cie TransatlantiK,Bruxelles,België,,1
714,Action Malaise,Brussel,België,,14
715,LUCA Drama,Leuven,België,,1
716,Stad Leuven,Leuven,België,,1
717,Sonja Augart & Katrien van Aerschot,,België,,1
718,Garifuna,Kasterlee,België,,1
719,Het Balkon,,België,,1
720,Museum M,Leuven,België,,2
721,Drie Vingers,Putte,België,,7
722,Theater Taptoe,Gent,België,,96
723,Musica vzw,Neerpelt,België,,9
724,La Oca Loca,Brussel,België,,12
725,Alkyonis,Leefdaal,België,,7
726,Annabel Schellekens & Thomas Devens,Leuven,België,,1
727,OHNO Cooperation,Brussel,België,,4
728,Casa Blanca,Meslin L'éveque,België,,2
729,Els De Schepper,Antwerpen,België,,4
730,Rubber Duck,Brussel,België,,3
731,BAM - Eugène Bervoets,Antwerpen,België,,1
732,Wiels,Vorst,België,,3
733,Corpus ca.,,België,,12
734,Publiekstoneel,Antwerpen,België,,1
735,ampersand,Borgerhout,België,,2
736,STORMOPKOMST,Turnhout,België,,3
737,SOIT,Brussel,België,,28
738,Villa Basta,Hasselt,België,,1
739,Aventura Musica,,België,,2
740,GC De Vaartkapoen,Sint-Jans-Molenbeek,België,,1
741,Brussels Philharmonic - Vlaams Radio Orkest,Elsene,België,,1
742,Alexander Baervoets / Azuur,Everberg,België,,22
743,Momentum festival,Brussel,België,,2
744,Sering,Borgerhout,België,,39
745,Het Ongerijmde,,België,,2
746,Platform-K vzw,Gent,België,,11
747,Curtain Call Productions,Gent,België,,13
