,Lijst van organisaties,Stad,Land,Postcode,Count van producties
962,Paul Kenens Solo Circater,Wilrijik,België,,1
963,Polydans Compagnie,Kortrijk,België,,8
964,Toneel Dora van der Groen,Antwerpen,België,,23
965,Koninklijk Jeugdtheater,Antwerpen,België,,56
966,Wayn Traub,Veerle,België,,13
967,Echt Antwaarps Teater,Antwerpen,België,,71
968,Stabada,Leuven,België,,6
969,Wolvin vzw,Hoboken (Antwerpen),België,,3
970,Theater Onderhetvel,Antwerpen,België,,11
971,Wit.h,Harelbeke,België,,3
972,Het Banket,Mechelen,België,,14
973,PANGEA,Leuven,België,,1
974,kristal & vanplastiek,Mortsel,België,,5
975,Transquinquennal,Bruxelles,België,,34
976,Strange Fruit vzw,Antwerpen,België,,1
977,GC De Markten,Brussel,België,,1
978,Fyke,Brussel,België,,17
979,Post uit Hessdalen,Hessdalen,België,,3
980,Salibonani,Hove,België,,7
981,Podium Modern,Kasterlee,België,,6
982,Retina Dance Company,Berchem,België,,13
983,Les dames blanches,Brussel,België,,1
984,Theatergezelschap Drie,Brugge,België,,1
985,the great indoors,Antwerpen,België,,4
986,Teater Zwarte Meeuw,Lokeren,België,,4
987,Daem Geertrui en de Baes Lieve,Gent,België,,1
988,Mr. & Mrs. Fox,,België,,3
989,Compagnie Carlotta,Leuven,België,,25
990,Bende Ongeregeld vzw,Antwerpen,België,,2
991,Stof,Antwerpen,België,,2
992,Florence Augendre,Brussel,België,,5
993,Theater Bas,Heverlee,België,,12
994,Company Las Barbudas,Brussel,België,,2
995,Compagnie Hatsjie,Hasselt,België,,5
996,Living Lines,Drongen,België,,1
997,Cour & Jardin,Gent,België,,4
998,Le Label Cedana,Brussel,België,,3
999,Ultima Thule,Gent,België,,106
1000,Teerling - Julien Schoenaerts,Antwerpen,België,,3
1001,Théâtre de Galafronie,Bruxelles,België,,1
1002,BRUT,,België,,4
1003,FRANK NUYTS & JACQUES SERVAES,Gent,België,,1
1004,Het Schooljeugdtheater,Sint-Genesius-Rode,België,,34
1005,SINCOLLECTIEF,Antwerpen,België,,14
1006,Antwerpen Boekenstad,Antwerpen,België,,1
1007,Tiens Tiens,Gent,België,,1
1008,Tg Dwaalzin,Sint-Niklaas,België,,1
1009,"Zwerm
",Antwerpen (Borgerhout),België,,1
1010,Kunst/Werk,Berchem,België,,120
1011,Multatuli Theater,Antwerpen,België,,4
1012,Jan Decorte & Cie,Sint-Joost-ten-Node,België,,3
1013,Tg Elektra,Antwerpen,België,,3
1014,alexander vzw,Ottenburg,België,,2
1015,Queer Arts Festival,Antwerpen,België,,1
1016,GC 't Groenendal,Merelbeke,België,,2
1017,Ultima Vez,Sint-Jans-Molenbeek,België,,99
1018,Action Zoo Humain,Gent,België,,19
1019,Anna's Steen,Kalmthout,België,,26
1020,De Zweep,Borgerhout (Antwerpen),België,,5
1021,Slow-up vzw,Mortsel,België,,1
1022,Fortinbras,Deurne,België,,2
1023,Art Basics for Children,Brussel,België,,1
1024,Kip met kop,Zwijndrecht,België,,9
1025,Volle Petrol,Anderlecht,België,,1
1026,Erasmushogeschool Brussel / Koninklijk Conservatorium,Brussel,België,,24
1027,IKOB - Museum für Zeitgenössische Kuns,Eupen,België,,1
1028,Cie Pol & Freddy,,België,,9
1029,Braakland/ZheBilding,Leuven,België,,109
1030,Capitool,Gent,België,,1
1031,Anno'02,Kortrijk,België,,3
1032,Louisa's Daughter,,België,,2
1033,Vlinderboom en Stinkzwam Experimenten,Brussel,België,,12
1034,Cie Artara,Brussel,België,,8
1035,Brasart,Gent,België,,1
1036,Brussels Brecht-Eislerkoor,Brussel,België,,1
1037,De Stichting / Peter De Graef,Antwerpen,België,,13
1038,SEEFTHEATER,Antwerpen,België,,1
1039,Jeugd en Muziek Gent,Gent,België,,1
1040,Kailash,Antwerpen,België,,1
1041,Luna Baal,Borgerhout,België,,1
1042,Glüg,Kasterlee,België,,1
1043,Sandberg,Antwerpen,België,,1
1044,Mestizo Arts Festival,Antwerpen,België,,8
1045,Herring,Tongeren,België,,1
1046,Speelteater Gent,Gent,België,,77
1047,FosFor Collectief,Lokeren,België,,1
1048,DE KOLONIE MT,Berchem,België,,26
1049,Les Ballets du Grand Maghreb,Brussel,België,,7
1050,Poppenspel Kiekeboe,Merksem (Antwerpen),België,,9
1051,Sjanteboetiek Produkties,Oosterzele,België,,22
1052,Sonda,Brussel,België,,1
1053,Blauw,Borgerhout,België,,2
1054,Operastudio Vlaanderen,Gent,België,,12
1055,Cie Todavia,Gent,België,,1
1056,Matrix Art Project,Brussel,België,,1
1057,Zwarte Meeuw,Gent,België,,5
1058,ccBe,Berchem,België,,4
1059,School of Arts - KASK DRAMA,Gent,België,,4
1060,Compagnie Barbarie,Antwerpen,België,,14
1061,Robbert&Frank/Frank&Robbert,Gent,België,,6
1062,Struiken vzw,Ledeberg,België,,3
1063,Eric Raeves,,België,,13
1064,Laat in de noen,Turnhout,België,,3
1065,Contrecoeur,Leuven,België,,24
1066,Arca,Gent,België,,92
1067,Art Buro Limburg,Maastricht,België,,4
1068,Vrijstaat O.,Oostende,België,,7
1069,Culturele interventies Antwerpen,Antwerpen,België,,1
1070,MiramirO - Internationaal Straattheaterfestival Gent,Gent,België,,2
1071,Volksroom,Brussel,België,,8
1072,Bon Avontura,Brussel,België,,1
1073,Phileas Productions,Brussel,België,,17
1074,Let's Go Urban,Antwerpen,België,,2
1075,Theaterwerkplaats NEST,Mortsel,België,,3
1076,Rode Boom,Hoevenen,België,,14
1077,Luk Wyns,Schoten,België,,2
1078,THEATER DE POESJE,Antwerpen,België,,1
1079,Etablissement d'en Face,Bruxelles,België,,1
1080,Schoora/Lippold,Kortrijk,België,,5
1081,Hush Hush Hush,Berchem,België,,18
1082,Maten,Antwerpen,België,,13
1083,Cultuurcentrum Merksem,Merksem,België,,1
1084,WERKHUIS/producties,Brussel,België,,13
1085,Amgod,Brussel,België,,7
1086,Het nieuwstedelijk,Leuven,België,,21
1087,An de Donder & Paul Verrept,Antwerpen,België,,1
1088,Cie 13 / Rosa Mei,Antwerpen,België,,1
1089,Le Bjarne Riss Ensemble,Dilsen-Stokkem,België,,8
1090,Ennesima,Brussel,België,,10
1091,Het Bos,Antwerpen,België,,3
1092,Internationaal Theaterschool Festival Brussel vzw,Brussel,België,,2
1093,Hogeschool Antwerpen / Herman Teirlinck Instituut,Antwerpen,België,,38
1094,Stromend Water vzw,Antwerpen,België,,1
1095,'t Spil - kollektief,Gent,België,,6
1096,Listopa Dancetheatre,Antwerpen,België,,1
1097,Koninklijke Vlaamse Schouwburg - KVS,Brussel,België,,322
1098,Stedelijk Instituut voor Sierkunsten en Ambachten - SISA,Antwerpen,België,,1
1099,Dito'Dito,Brussel,België,,91
1100,Villa Lobos vzw,Vorst,België,,12
1101,Catalpa vzw,Schoten,België,,4
1102,Nico Sturm en Karolien De Beck,,België,,1
1103,Eastman,Antwerpen,België,,38
1104,Ratlas Company,Brussel,België,,1
1105,B12 vzw,Neerpelt,België,,6
