,Lijst van personen,Gender,Stad,Land,Postcode,Count van producties
1297,Mike Van Alfen,110.0,,België,,4
1298,Lee Wilson,109.0,,België,,8
1299,Karlijn Zenta,109.0,,België,,1
1300,Marc Celis,110.0,Neerpelt,België,,1
1301,Jose Besprosvany,110.0,,België,,21
1302,Rebecca Lenaerts,109.0,Brussel,België,,8
1303,Francine Smeyers,109.0,,België,,121
1304,Kristin Vanden Bosch,109.0,,België,,2
1305,Joost Vandecasteele,110.0,,België,,57
1306,Mustafa Audullahaj,110.0,,België,,1
1307,Carly Wijs,109.0,,België,,100
1308,Johan Van Assche,110.0,Antwerpen,België,,97
1309,Emil Hrvatin,110.0,Ljubljana,Slovenië,,5
1310,Alexander Coppenolle,110.0,,België,,1
1311,Ilse Van Hoecke,109.0,Wemmel,België,,4
1312,Dries Vercruysse,110.0,Gent,België,,27
1313,Sabine Goethals,109.0,Zedelgem,België,,9
1314,Roger Christmann,110.0,Brussel,België,,4
1315,Celine Verhaeghe,109.0,,België,,5
1316,Tom Voet,110.0,,België,,2
1317,Daan van Bendeghem,110.0,,België,,3
1318,Myriam Bronzwaar,109.0,Deurne,België,,30
1319,Cesc Gelabert,110.0,Barcelona,Spanje,,5
1320,Frank Van Hoeck,110.0,Stekene,België,,6
1321,Gerda Marchand,109.0,,België,,109
1322,Guy Vandromme,110.0,Antwerpen,België,,13
1323,Ann Minnen,109.0,,België,,1
1324,Sandrine Verstraete,109.0,,België,,1
1325,Mieke Bouve,109.0,Gent,België,,38
1326,Walter Baele,110.0,Hoeilaart,België,,9
1327,Shani Granot,109.0,Brussel,België,,16
1328,Anna Bussey,109.0,,België,,1
1329,Hilde De Wildeman-Droogné,110.0,Gent,België,,6
1330,Bart Klein,110.0,Antwerpen,België,,25
1331,Robin Steins,110.0,,België,,1
1332,An Dours,109.0,Molenbeek,België,,5
1333,Zukisa Nante,110.0,Antwerpen,België,,11
1334,Patrick Durwael,110.0,HASSELT,België,,19
1335,Marc Debisschop,110.0,Antwerpen,België,,25
1336,Jorre Vandenbussche,110.0,,België,,53
1337,Sanne van Rijn,109.0,,Nederland,,20
1338,Bert De smet,110.0,,België,,1
1339,Raphael Vandeweyer,110.0,,België,,1
1340,Lucienne De Nutte,109.0,RETIE,België,,48
1341,Niels Gijswijt,110.0,Kortrijk,België,,2
1342,Ellen Van Herck,109.0,,België,,1
1343,Lucas Vandervost,110.0,Antwerpen,België,,175
1344,Frank Van Elzen,110.0,,België,,3
1345,Sigiswald Kuijken,110.0,Asse,België,,4
1346,Leen Braspenning,109.0,Gent,België,,8
1347,Maïté Van Keirsbilck,109.0,Gent,België,,6
1348,Willem De Maeseneer,110.0,,België,,10
1349,Aukje Kaelen,109.0,,België,,1
1350,Lucas De Man,110.0,,België,,5
1351,Christiaan Mommeyer,110.0,,België,,2
1352,Kathleen De Maeyer,109.0,,België,,1
1353,Katherine Cools,109.0,,België,,19
1354,Christian Dedeene,110.0,,België,,1
1355,Thomas Vandecasteele,110.0,Gent,België,,1
1356,Mo Willems,110.0,,Verenigde Staten van Amerika,,8
1357,Benjamin Verdonck,110.0,Borgerhout,België,,113
1358,Helena Urgel,109.0,Berchem,België,,5
1359,Myriam Augustijnen,109.0,Ranst,België,,26
1360,Karen Lamberts,109.0,,België,,6
1361,Pascale Pringels,109.0,Lokeren,België,,8
1362,Janni Van Goor,109.0,Gent,België,,19
1363,Hilde Van Hulle,109.0,Antwerpen,België,,10
1364,Koen Deveux,110.0,Westerloo,België,,5
1365,Lisa Vandeweege,109.0,,België,,1
1366,Lukas Van Echelpoel,110.0,,België,,36
1367,Leo De Beul,110.0,,België,,9
1368,Yasmina Boudia,109.0,Brussel,België,,3
1369,Kurt Van der Elst,110.0,Gent,België,,60
1370,Olivier Berten,110.0,,België,,6
1371,Lieve Pinxten,109.0,Boom,België,,1
1372,Olivia Poppe,109.0,,België,,3
1373,Dries De Crom,110.0,,België,,1
1374,Paul Van Den Spiegel,110.0,,België,,7
1375,Serge Verstockt,110.0,BRASSCHAAT,België,,20
1376,Dries Vanhegen,110.0,Gent,België,,52
1377,Colin Waeghe,110.0,Hansbeke,België,,3
1378,Sarah Pector,109.0,,België,,1
1379,Bram van der Vlugt,110.0,,Nederland,,1
1380,Tim Driesen,110.0,,België,,1
1381,Cindy Godefroi,109.0,,België,,4
1382,Kristien Van den Brande,109.0,Wolvertem,België,,10
1383,Elsie de Brauw,109.0,Varik,Nederland,,65
1384,Matthias Valvekens,110.0,,België,,1
1385,Georges Elie Octors,110.0,GREZ-DOICEAU,België,,28
1386,Margaretha De Boeve,109.0,Assenede,België,,3
1387,Koenraad Vandersyppe,110.0,Gent,België,,9
1388,Matilde Casier,109.0,,België,,2
1389,Jean Debefve,110.0,Feluy,België,,3
1390,Jos Aernouts,110.0,Deurne,België,,3
1391,Inti Elena Soors Solis,109.0,,België,,2
1392,Catherine Vanpoucke,109.0,Kortrijk,België,,2
1393,Jo Roets,110.0,Berchem,België,,244
1394,André Goudbeek,110.0,,België,,34
1395,Rosalie Alles,109.0,,België,,3
1396,Agnès Quackels,109.0,,België,,7
1397,Ernst Löw,110.0,,België,,22
1398,Stefan Gaelens,110.0,,België,,3
1399,Marco Caselli,110.0,,Italië,,1
1400,Trien Cornelis,109.0,,België,,1
1401,Olivier Haemhouts,110.0,,België,,8
1402,Ellen Meijer,109.0,HEERLEN,Nederland,,9
1403,Jef Verbeeck,110.0,,België,,8
1404,Erna Palsterman,109.0,Sint-Amandsberg (Gent),België,,67
1405,Karel Creemers,110.0,Oudenaarde,België,,9
1406,Sarah Van Geel,109.0,,België,,4
1407,Femke De Haes,109.0,,België,,5
1408,Ragna Aurich,109.0,Brussel,België,,32
1409,Thibault Bekaert,110.0,,België,,1
1410,Eric Sleichim,110.0,Etterbeek,België,,76
1411,Paul de Loore,110.0,,België,,3
1412,Bruno De Vos,110.0,,België,,1
1413,Greet Rouffaer,109.0,Berchem,België,,10
1414,Jan Dekeyser,110.0,,België,,50
1415,Frank Thoelen,110.0,,België,,1
1416,Frederik Van de Moortel,110.0,,België,,13
1417,Els Magerman,109.0,Gentbrugge,België,,105
1418,Vera Mann,109.0,Amsterdam,Nederland,,10
1419,Marc Lauwrys,110.0,Antwerpen,België,,54
1420,Ted Huffman,110.0,,Andorra,,1
1421,Rafaël Troch,110.0,Antwerpen,België,,33
1422,Daniël Stevens,110.0,,België,,1
1423,Inge Ketelers,109.0,Hansbeke,België,,1
1424,Aurélie Lierman,109.0,,België,,7
1425,Sofie Nuyttens,109.0,,België,,9
1426,Brian Broeders,110.0,,België,,7
1427,Walter Verhoeven,110.0,Gent,België,,2
1428,Luk Sansen,110.0,Turnhout,België,,1
1429,Eva Bal,109.0,Sint-Martens-Latem,België,,155
1430,Louisa Vanderhaegen,109.0,,België,,1
1431,Brigitte Jaques,109.0,Paris,Frankrijk,,4
1432,Maarten Mees,110.0,,België,,7
1433,evelelien broeckaert,109.0,,België,,1
1434,Koen De Ruyck,110.0,Gent,België,,29
1435,Wim D'haveloose,110.0,-,België,,19
1436,Davy Wellens,110.0,,België,,2
1437,Mark Verhelst,110.0,,België,,2
1438,Steven Reymer,110.0,,België,,1
1439,Jos De Backer,110.0,Antwerpen,België,,30
1440,An De Keersmaeker,109.0,Antwerpen,België,,3
1441,Johan Walgrave,110.0,,België,,3
1442,Frits Standaert,110.0,Antwerpen,België,,2
1443,Thomas Hirschhorn,110.0,Parijs,Frankrijk,,1
1444,Zouzou Ben Chikha,110.0,,België,,34
1445,Greta Van Langendonck,109.0,Kessel-Lo (Leuven),België,,73
1446,Tourad Kane,110.0,,België,,5
1447,Victor Dubien,110.0,,België,,1
1448,Katrien Van Gijsegem,109.0,,België,,4
1449,Bettina Masuch,109.0,,Duitsland,,6
1450,Kaspar Kraemer,110.0,,Duitsland,,5
1451,Stijn Cole,110.0,Antwerpen,België,,33
1452,Lore Baeten,109.0,,België,,2
1453,Julie Van den Berghe,109.0,,België,,23
1454,Annelore Stubbe,109.0,Erps-Kwerps,België,,55
1455,Hans Hemerijck,110.0,Antwerpen,België,,28
1456,Cecile Brommer,109.0,Utrecht,Nederland,,3
1457,Sanderijn Helsen,109.0,Antwerpen,België,,25
1458,Kristin Van der Voort,109.0,Poppel,België,,2
1459,Nanouk Lemmerling,109.0,,België,,7
1460,Vincent Van den Bossche,110.0,,België,,2
1461,Yves De Pauw,110.0,Borgerhout,België,,41
1462,Emmanuel Awosanmi,110.0,,België,,2
1463,Dirk De Corte,110.0,Mariakerke,België,,7
1464,Elke Van Haecke,109.0,,België,,3
1465,Juliette Bogers,109.0,,België,,2
1466,Jason Van Laere,110.0,,België,,15
1467,Laetitia janssens,109.0,,België,,5
1468,Ewout D'Hoore,110.0,Brussel,België,,16
1469,Aleksandra Janeva Imfeld,109.0,Bruxelles,België,,8
1470,Waterman,110.0,,Verenigde Staten van Amerika,,1
1471,Sarah Blion,109.0,,België,,1
1472,Jos Brabants,109.0,Antwerpen,België,,35
1473,Charlie Degotte,110.0,Sint-Gillis,België,,9
1474,Jelte Van Roy,109.0,Mortsel,België,,58
1475,Anton Devilder,110.0,,België,,1
1476,Ewoud Duttelie,110.0,,België,,1
1477,Elena Kats-Chernin,109.0,,Australië,,1
1478,Jo Huylebroeck,110.0,,België,,4
1479,Owain Browne,110.0,,Groot-Brittannië,,1
1480,Fred Op de Beek,110.0,,België,,1
1481,Frank Van Erum,110.0,,België,,13
1482,Tjallien Walma van der Molen,109.0,Amsterdam,Nederland,,4
1483,Anniek Pauwels,109.0,Gent,België,,20
1484,Tine Van Aerschot,109.0,,België,,22
1485,Hilde Teuchies,109.0,Bierbeek,België,,7
1486,Arthur Honegger,110.0,,Zwitserland,,2
1487,Jirí Kylián,110.0,,Hongarije,,20
1488,Douglas Nasrawi,110.0,,België,,3
1489,Stef Aerts,110.0,,België,,48
1490,Peter De Blieck,110.0,,België,,14
1491,Irene Carpentier,109.0,,België,,15
1492,Andries Helsen,110.0,Laakdal,België,,1
1493,Silke Muys,109.0,,België,,2
1494,Toon van Ulsen,110.0,,België,,1
1495,Johan Van Ransbeeck,110.0,,België,,25
1496,Richard O'Brien,110.0,,Verenigde Staten van Amerika,,6
1497,AnneMarthe Zomer,109.0,,België,,3
1498,Kristin Rogghe,109.0,Brussel,België,,22
1499,Michel Picha,110.0,,België,,1
1500,Marga Peters,109.0,,België,,4
1501,Door Van Boeckel,110.0,Lier,België,,110
1502,Pietro Pizzuti,110.0,,België,,3
1503,Jonah Muylle,110.0,,België,,1
1504,Anna Kempner,109.0,,België,,1
1505,Leonie Persyn,109.0,,België,,3
1506,Sarahshoot,109.0,,België,,1
1507,Lieve Cools,109.0,Riogordo Málaga,Spanje,,54
1508,Johan Gailliaert,110.0,,België,,1
1509,Pierre Bastin,110.0,LIEGE,België,,1
1510,Robert Denvers,110.0,Antwerpen,België,,5
1511,Catherine De Gendt,109.0,,België,,1
1512,Benny Vandendriessche,110.0,,België,,1
1513,Marlies Jaques,109.0,,België,,1
1514,Cisser Royens,110.0,,België,,1
1515,Sybren Heyndels,110.0,,België,,3
1516,Isabelle Finet,109.0,Gent,België,,3
1517,Elke Roels,109.0,VILVOORDE,België,,17
1518,Jo Desmet,109.0,Gentbrugge,België,,8
1519,Chris Lomme,109.0,Anderlecht,België,,151
1520,Liesbeth Vereertbrugghen,109.0,Winksele,België,,11
1521,Timur Ratlas,110.0,Evere,België,,21
1522,Ingeborg Lievens,109.0,Gent,België,,11
1523,Liesbeth Maes,109.0,,België,,1
1524,Ben Bergmans,110.0,Rotterdam,Nederland,,8
1525,Eva Dubar,109.0,,België,,1
1526,Pieter Van Den Broeck,110.0,Borgerhout,België,,6
1527,Veerle Van Schoelant,109.0,,België,,18
1528,Sarie Van Lancker,109.0,Gent,België,,2
1529,Polle Geusens,110.0,,België,,1
1530,Jan Joostens,110.0,Merksen,België,,6
1531,Wouter Krokaert,110.0,,België,,18
1532,Tine Van Den Brande,109.0,London,Groot-Brittannië,,17
1533,Senne Rouffaer,110.0,Strombeek-Bever,België,,159
1534,Kurt d'Haeseleer,110.0,,België,,54
1535,Ann Van den Broek,109.0,,België,,160
1536,Laura Janssens,109.0,,België,,1
1537,Valerie Vertenten,109.0,Antwerpen,België,,8
1538,André Sollie,110.0,Deurne,België,,14
1539,Benedikte Vansteenkiste,109.0,Brussel,België,,2
1540,Kristel Van den Heede,109.0,,België,,2
1541,Alain Craens,110.0,Mortsel,België,,1
1542,Els Van Riel,109.0,,België,,8
1543,Benny D'haeseleer,110.0,,België,,7
1544,Angélique Willkie,109.0,,België,,25
1545,Denise Belmans,109.0,Sint-Amandsberg (Gent),België,,2
1546,Jan Decleir,110.0,,België,,134
1547,Ninon Neyt,109.0,BORGERHOUT,België,,56
1548,Jonathan Burrows,110.0,,België,,80
1549,Ronny Waterschoot,110.0,Putte,België,,97
1550,Vincent Dunoyer,110.0,Paris,Frankrijk,,98
1551,Anton Cogen,110.0,Erpe-Mere,België,,124
1552,Eva Tulkens,109.0,,België,,4
1553,Wolfgang Kintscher,110.0,,Duitsland,,5
1554,Esther Kuiper,109.0,,België,,1
1555,Matthew Michel,110.0,,België,,3
1556,Pep Ramis,110.0,BARCELONA,Spanje,,4
1557,Saskia Verstiggel,109.0,Gent,België,,17
1558,Emanuel Maes,110.0,Antwerpen,België,,2
1559,Gaëtan Bulourde,110.0,,België,,19
1560,Henriette Brouwers,109.0,Amsterdam,Nederland,,2
1561,Mirjam De Wit,109.0,,België,,1
1562,Tom Blokdijk,110.0,Amsterdam,Nederland,,34
1563,Martin Van Zundert,110.0,Lille,België,,117
1564,Johan Dehollander,110.0,Gent,België,,129
1565,Samir Ahmidouche,110.0,,België,,1
1566,Paul Codde,110.0,Brasschaat,België,,35
1567,Silke Muhlenstedt,109.0,Schaarbeek,België,,2
1568,Lies Van Assche,109.0,SINT-AMANDS,België,,103
1569,Ricardo Mandolini,110.0,Gent,België,,5
1570,Marc Vanrunxt,110.0,Antwerpen,België,,261
1571,Annesophie Steels,109.0,Hoepertingen,België,,15
1572,Katrien Pierlet,109.0,Gent,België,,71
1573,Wouter Deprez,110.0,,België,,8
1574,Catharina Valckx,109.0,,België,,3
1575,Nina De Vroome,109.0,,België,,3
1576,Anneke Luyten,109.0,,België,,6
1577,Ilke Turpijn,109.0,Antwerpen,België,,5
1578,Michaël Bijnens,110.0,Brussel,België,,12
1579,Eva Pieper,109.0,Amsterdam,Nederland,,2
1580,Iris Verhoeyen,109.0,,België,,8
1581,Wout wittevrongel,110.0,,België,,2
1582,Mauro De Candia,110.0,,Italië,,1
1583,Berten Vanderbruggen,110.0,,België,,1
1584,Lisa Verbelen,109.0,,België,,29
1585,Margriet De Haene,109.0,Diest,België,,2
1586,Emilio Marcucci,110.0,,Italië,,2
1587,Astrid Vehstedt,109.0,Berlin,Duitsland,,11
1588,Martine Werbrouck,109.0,Gent,België,,64
1589,Florian Heyerick,110.0,Merelbeke,België,,9
1590,Mukti Terryn,110.0,,België,,2
1591,Rudi Meulemans,110.0,Sint-Joost-ten-Node,België,,122
1592,Sabine Reifer,109.0,Antwerpen,België,,12
1593,Stéphane Croughs,110.0,Londerzeel,België,,8
1594,Bert André,110.0,Berchem,België,,143
1595,Annik Leroy,109.0,Elsene,België,,2
1596,Griet Meuleman,109.0,,België,,1
1597,Patrick De Wit,110.0,,België,,15
1598,Dirk Lavrysen,110.0,Mortsel,België,,99
1599,Nathalie Gavashelishvili,109.0,,België,,5
1600,Alphea Pouget,109.0,,België,,3
1601,Majella Opdenacker,109.0,,België,,19
1602,Gerda Dendooven,109.0,Gent,België,,65
1603,Reinhilde Decleir,109.0,Antwerpen,België,,74
1604,Kurt Defrancq,110.0,Mariakerke,België,,63
1605,Ann Van Mol,109.0,Dilbeek,België,,1
1606,Timeau De Keyser,110.0,,België,,21
1607,Caroline Daish,109.0,,België,,7
1608,Willem Jan Otten,110.0,Naarden,Nederland,,3
1609,Sam Usher,110.0,Brussel,België,,2
1610,Anton Van Hertbruggen,110.0,,België,,2
1611,Laurence Servaes,109.0,,België,,1
1612,Tony Wu,110.0,,Taiwan (Chinese Rep.),,2
1613,Els Bruynseels,109.0,Brussel,België,,3
1614,Paloma Samper,109.0,,België,,2
1615,Remco de Jong,110.0,,Nederland,,20
1616,Noortje Dekker,109.0,,België,,6
1617,Roger Van Geluwe,110.0,,België,,1
1618,Heather Hunter,109.0,,Groot-Brittannië,,1
1619,Els Soetaert,109.0,Gent,België,,14
1620,Inne Box,109.0,,België,,14
1621,Jos (Jozef) Houben,110.0,Le Pré Saint Gervais,Frankrijk,,59
1622,Sara Van Hoezen,109.0,,België,,18
1623,Liza Baliasnaja,109.0,,Litouwen,,2
1624,Jolie Ngemi,109.0,,Democratische Republiek Congo,,11
1625,Samira Es Souissi,109.0,,België,,1
1626,Maurice Van De Velde,110.0,Berchem,België,,13
1627,Hilde Hebbinckuys,109.0,,België,,29
1628,Mieja Hollevoet,109.0,Antwerpen,België,,124
1629,Jan Van den Eynde,110.0,,België,,1
1630,Jan De Vuyst,110.0,Kessel-Lo (Leuven),België,,29
1631,Pieter Eycken,110.0,Brussel,België,,6
1632,Ivan Törzs,110.0,,België,,17
1633,Ingrid Switsers,109.0,Wilrijk,België,,1
1634,Catrien Hermans,109.0,,België,,105
1635,Vivian Cruz,109.0,Brussel,België,,14
1636,Jaime Llopis,110.0,,België,,20
1637,Marijke Hellemans,109.0,,België,,1
1638,Jim Clayburgh,110.0,,België,,72
1639,Laurence Vielle,109.0,Bruxelles,België,,1
1640,Peter Missotten,110.0,Bierbeek,België,,143
1641,Henri Pousseur,110.0,LIEGE,België,,1
1642,Roger Mortier,110.0,,België,,1
1643,Lies Pinnewaert,109.0,,België,,3
1644,Eric Kerremans,110.0,,België,,98
1645,Maya Wilsens,109.0,Brussel,België,,12
1646,Inge Liefsoens,109.0,,België,,10
1647,Louis Janssens,110.0,,België,,11
1648,Keja Kwestro,109.0,,Nederland,,2
1649,Irene Vanhaverbeke,109.0,,België,,1
1650,Robrecht De Spiegelaere,110.0,Brugge,België,,9
1651,Jeska Verthé,109.0,Kortrijk,België,,1
1652,Herman De Winné,110.0,,België,,6
1653,An Nelissen,109.0,Antwerpen,België,,81
1654,Tom Hunter,110.0,,Groot-Brittannië,,2
1655,Lilian Bruinsma,109.0,Elsene,België,,1
1656,Verona Verbakel,109.0,,België,,27
1657,André Simon,110.0,Vorst,België,,19
1658,Chico Kenzari,110.0,,Nederland,,3
1659,Erik Bassier,110.0,Gent,België,,57
1660,Aaron Defossez,110.0,,België,,3
1661,Anke Claassen,109.0,,België,,1
1662,Andrew Ashwin,110.0,,Groot-Brittannië,,5
1663,Sven Use,110.0,Brussel,België,,42
1664,Stef Degroote,110.0,,België,,1
1665,Catherine Mestoussis,109.0,Sint-Gillis,België,,1
1666,Geert van Istendael,110.0,Sint-Lambrechts-Woluwe,België,,14
1667,Francisco Camacho,110.0,LISBOA,Portugal,,18
1668,Tineke Vandenhoudt,109.0,-,België,,2
1669,Tom Philips,110.0,,België,,10
1670,Jolien Deley,109.0,,België,,3
1671,Mane Verschueren,110.0,,België,,9
1672,Paul Pourveur,110.0,Corroy-le-Grand,België,,83
1673,Giuseppe Nocera,110.0,BORGERHOUT,België,,30
1674,Piet Balfoort,110.0,Brugge,België,,82
1675,Tine Verhaert,109.0,Aartselaar,België,,7
1676,Adjia Fana Diouf,109.0,,Senegal,,1
1677,Viënna Vermeirssen,109.0,,België,,3
1678,Maarten Seghers,110.0,Brussel,België,,132
1679,Sonja Verstraete-Dumon,109.0,,België,,3
1680,Bob Van Laerhoven,110.0,Vosselaar,België,,9
1681,Luk Monsaert,110.0,Gent,België,,12
1682,Olivier Arno,110.0,,België,,1
1683,Jean-Luc Breuer,110.0,Brussel,België,,2
1684,Hadewijch Oplinus,109.0,,België,,2
1685,Sabrina De Vos,109.0,,België,,2
1686,Alice Bogaerts,109.0,,België,,5
1687,Marian Decroos,109.0,,België,,2
1688,Julie Morel,109.0,,België,,1
1689,Sam Wauters,110.0,,België,,11
1690,Jeroen Versteele,110.0,Kessel-Lo,België,,66
1691,Ilke Bartholomees,109.0,,België,,1
1692,Herwig De Weerdt,110.0,Gent,België,,168
1693,Katleen Rens,109.0,De Pinte,België,,5
1694,Jurgen Delnaet,110.0,Antwerpen,België,,92
1695,Xavier Lukomski,110.0,,België,,3
1696,Amber Vandenhoeck,109.0,,België,,21
1697,Brenda Bertin,109.0,Gent,België,,58
1698,Seppe Vervoort,110.0,,België,,3
1699,Marie De Corte,109.0,Borgerhout,België,,86
1700,Greta Goris,109.0,,België,,2
1701,Daisy Van Praet,109.0,Knokke,België,,5
1702,Hugo Van Laere,110.0,Gent,België,,34
1703,Ingrid  Vanderschueren,109.0,,België,,1
1704,Kristine Van Pellicom,109.0,Antwerpen,België,,38
1705,Danny Cobbaut,110.0,Erpe-Mere,België,,12
1706,Elles de Koe,109.0,,België,,16
1707,Patrick Smets,110.0,,België,,1
1708,Vincent Malstaf,110.0,Leuven,België,,66
1709,Jan Vermeersch,110.0,Gentbrugge,België,,19
1710,Paulina Steinmeyer,109.0,,België,,2
1711,Alice Rottey,109.0,,België,,1
1712,Michiel Hendryckx,110.0,Gent,België,,6
1713,Raf Walschaerts,110.0,,België,,72
1714,Bert Loenders,110.0,,België,,2
1715,Martine Wijckaert,109.0,Brussel,België,,3
1716,Wiebke Göetjes,109.0,,Nederland,,2
1717,Ruben Desiere,110.0,,België,,14
1718,Annemarie Picard,109.0,Wilrijk,België,,61
1719,Inne Goris,109.0,Brussel,België,,72
1720,Anne Van de Star,109.0,,België,,1
1721,Marc Maes,110.0,Etterbeek,België,,9
1722,Rolf Heyer,110.0,,Duitsland,,5
1723,Stéphane Arcas,110.0,,België,,3
1724,Ianka Fleerackers,109.0,Bornem,België,,29
1725,Rudi Bekaert,110.0,Brussel,België,,37
1726,Eline Duerinck,109.0,,België,,2
1727,Dave Van Robays,110.0,Gent,België,,2
1728,Pascal Decypere,109.0,Kortrijk,België,,1
1729,Kim Snauwaert,109.0,,België,,1
1730,Nand Buyl,110.0,Anderlecht,België,,127
1731,Mieke Bergmans,109.0,Diepenbeek,België,,1
1732,Katrien Vandergooten,109.0,Etterbeek,België,,12
1733,Alice Chauchat,109.0,Brussel,België,,17
1734,Lotte Pinoy,109.0,,België,,28
1735,Kurt Monten,110.0,Zonhoven,België,,2
1736,Bruno Bressanutti,110.0,Antwerpen,België,,16
1737,Jan Machielsen,110.0,,België,,3
1738,Bram Verboom,110.0,,België,,3
1739,Steven Van Watermeulen,110.0,St. Martens Latem,België,,93
1740,Sarah Geirnaert,109.0,,België,,9
1741,Dries De Corte,110.0,Gent,België,,7
1742,Marijke Pinoy,109.0,Evergem,België,,148
1743,Kristof Jonckheere,110.0,Ieper,België,,4
1744,Magda Ral,109.0,Sint-Jans-Molenbeek,België,,7
1745,Sara Vanderstappen,109.0,Antwerpen,België,,4
1746,Bram Kelchtermans,110.0,,België,,2
1747,Rian Koopman,109.0,,België,,4
1748,Dries Moreels,110.0,Aalst,België,,10
1749,Jef Mellemans,110.0,KRUIBEKE,België,,6
1750,Pascale De Groote,109.0,Antwerpen,België,,84
1751,Herbert Flack,110.0,Antwerpen,België,,88
1752,Christophe Dumalin,110.0,Sint-Jans-Molenbeek,België,,2
1753,Brechtje Kat,109.0,,Nederland,,2
1754,Philippe Liekens,110.0,Berchem,België,,14
1755,Mark Rothko,110.0,,Verenigde Staten van Amerika,,1
1756,Raf De Clercq,110.0,,België,,25
1757,Johan Van Overbeke,110.0,,België,,1
1758,Frans Van der Wiel,110.0,,België,,1
1759,Sus Slaets,110.0,Meulebeke,België,,13
1760,Mourad Baaiz,110.0,,België,,6
1761,Serge Elia,110.0,Gent,België,,1
1762,Lia De Cuyper,109.0,,België,,6
1763,Seth Tillett,110.0,,Verenigde Staten van Amerika,,2
1764,Kristien Maus,109.0,,België,,1
1765,Pat Riské,110.0,,België,,40
1766,Eva Vromant,109.0,,België,,2
1767,Gert Stas,110.0,Berchem,België,,6
1768,Suzanne Saerens,109.0,Sint-Amandsberg (Gent),België,,73
1769,Tania Nasielski,109.0,Sint-Gillis,België,,4
1770,Bram Rombouts,110.0,,België,,12
1771,Mariame Clément,109.0,,Frankrijk,,5
1772,Claude Rodrigue,109.0,,Frankrijk,,6
1773,François Beukelaers,110.0,Ukkel,België,,96
1774,Kaija Saariaho,109.0,,Finland,,1
1775,Eva Soenens,109.0,,België,,2
1776,Maarten Vanden Abeele,110.0,Brussel,België,,19
1777,Wim Verbeke,110.0,Brussel,België,,51
1778,Chantal Bekaert,109.0,Zaventem,België,,1
1779,Lotte De Bruyn,109.0,,België,,2
1780,André Roels,110.0,Gent,België,,28
1781,Iwona Sakowicz,109.0,,Zwitserland,,1
1782,Jelle Carron,110.0,,België,,2
1783,Margreet Bruggeman,109.0,NEDERLAND ONBEKEND,Nederland,,3
1784,Peter De Roy,110.0,Wolvertem,België,,3
1785,Idrissa Mbengue,109.0,,Senegal,,1
1786,Wim Helsen,110.0,,België,,13
1787,Marc De Coninck,110.0,Brasschaat,België,,41
1788,Jonas Van der Heyden,110.0,,België,,1
1789,Coral Ortega,109.0,Brussel,België,,3
1790,Katelijne Verheyen,109.0,Antwerpen,België,,2
1791,Carsten Jenss,110.0,,Duitsland,,1
1792,Andreas Hutter,110.0,,Oostenrijk,,1
1793,Joao Pedro Cabral,110.0,,Portugal,,1
1794,Ellen Van Den Brande,109.0,Mortsel,België,,3
1795,Wim Mertens (choreograaf),110.0,,België,,1
1796,Gitte Van Hoyweghen,109.0,,België,,10
1797,Mounia Bouhajra,109.0,,België,,1
1798,Dimitry De Cock,110.0,,België,,5
1799,Anton Pavlovich Tsjechov,110.0,,Federatie van Rusland,,142
1800,Jits Van Belle,109.0,Gentbrugge,België,,31
1801,Ilja Van De Wateringen,110.0,,België,,4
1802,Wolf Verniers,110.0,,België,,2
1803,Kris Van Steelandt,110.0,Gent,België,,2
1804,Wouter Fimmers,110.0,Heverlee,België,,1
1805,Karine Girard,109.0,,België,,1
1806,Arend Pinoy,110.0,,België,,62
1807,Tom Lanoye,110.0,Antwerpen,België,,85
1808,Kobe wyffels,110.0,,België,,3
1809,Kristien Van den Bogaert,109.0,,België,,7
1810,Veerle Piette,109.0,,België,,1
1811,Nikolas Rabogliatti,110.0,,België,,2
1812,Beat Furrer,110.0,,Zwitserland,,1
1813,Ilse Duyck,109.0,,België,,5
1814,Laetitia Van Haverbeke,109.0,,België,,4
1815,Lorenza Goos,109.0,Tervuren,België,,54
1816,Roger Pottier,110.0,Antwerpen,België,,100
1817,Dominique Willaert,110.0,Lovendegem,België,,27
1818,Margot De Group,109.0,,België,,23
1819,Sophie de Schaepdrijver,,,België,,1
1820,Wim De Graeve,110.0,,België,,5
1821,Marlies Dhaenens,109.0,,België,,1
1822,Helmut Van den Meersschaut,110.0,Gent,België,,60
1823,Lauri-Dag Tüür ,110.0,,Estland,,1
1824,Adinda Goddyn,109.0,,België,,1
1825,Dimitri Stuyven,110.0,,België,,2
1826,Christian Baggen,110.0,Bruxelles,België,,3
1827,Barbara De Wit,109.0,Hove,België,,29
1828,Greg Timmermans,110.0,Antwerpen,België,,47
1829,Kaz Tshikala,110.0,,België,,1
1830,Victorine van Alphen,109.0,,Nederland,,1
1831,Tom Van Den Wynngaert,110.0,,België,,1
1832,Henri-Floris Jespers,110.0,Antwerpen,België,,1
1833,Elke Van Campenhout,109.0,Brussel,België,,10
1834,Antiochos Evangelato,110.0,,Griekenland,,2
1835,Marie Peeters,109.0,Antwerpen,België,,2
1836,Kevin Janssens,110.0,,België,,27
1837,Pieter Quaghebeur,110.0,,België,,2
1838,Jan D'Haene,110.0,,België,,3
