,Lijst van personen,Gender,Stad,Land,Postcode,Count van producties
127,Stijn Dierckx,110.0,,België,,2
128,Katrien Bruers,109.0,,België,,2
129,Kathleen De Laet,109.0,,België,,2
130,Susan Quinn,109.0,SALZBURG,Oostenrijk,,3
131,Richard Kerkhofs,110.0,,België,,23
132,Gerrit Valckenaers,110.0,Leuven,België,,124
133,Karlijn Sileghem,109.0,,België,,66
134,Suzie Gielkens,109.0,Neerpelt,België,,9
135,Liesbeth De Hertogh,109.0,,België,,16
136,Carine Hofstra,109.0,,België,,1
137,Silke Willrett,109.0,,Duitsland,,3
138,Servé Hermans,110.0,,België,,55
139,Shila Anaraki,109.0,Elsene,België,,16
140,Eva Grinwis Plaat Stultjes,109.0,,België,,2
141,Chris Van Camp,109.0,,België,,14
142,Silke Thorrez,109.0,,België,,5
143,Bruno Smeyers,110.0,,België,,129
144,Joke Raman,109.0,,België,,1
145,Ellen Vervaet,109.0,,België,,3
146,Eva Musil,109.0,,België,,2
147,Riina Saastamoinen,109.0,Brussel,België,,24
148,Ali Wouters,110.0,Antwerpen,België,,5
149,Femke Stallaert,109.0,,België,,10
150,Johan Bakker,110.0,,Nederland,,1
151,Elke Dom,109.0,Antwerpen,België,,34
152,Janeth Mulapha,109.0,,Mozambique,,1
153,François Schuiten,110.0,Schaarbeek,België,,1
154,Nic Balthazar,110.0,Gent,België,,13
155,Lotte De Mont,109.0,Antwerpen,België,,2
156,Milou Van De Putte,110.0,Gent,België,,77
157,Fien van der Aa,109.0,,België,,3
158,Nathalie Denyft,109.0,,België,,1
159,Katrien Van Aerschot,109.0,Leuven,België,,16
160,Vincent Jacobs,110.0,,België,,41
161,Piet Van Bockstal,110.0,Antwerpen,België,,1
162,Bert Cosemans,110.0,Wilrijk,België,,66
163,Jonah Samyn,110.0,Gent,België,,2
164,Luc Dhooghe,110.0,Schaarbeek,België,,24
165,Magali Uytterhaegen,109.0,Hoboken,België,,31
166,Ivo Pauwels,110.0,,België,,187
167,Peter Geudens,110.0,Deurne,België,,2
168,Mireille Hirsch,109.0,,België,,1
169,Bert Roman,110.0,Houthalen,België,,10
170,Sven Boels,110.0,,België,,1
171,David Hernandez,110.0,,België,,71
172,Joke Emmers,109.0,,België,,11
173,Antoon Vermeiren,110.0,,België,,1
174,Kürt Rogiers,110.0,O.L.V. Waver,België,,2
175,Simon Bruyninckx,110.0,,België,,6
176,Gert Aertsen,110.0,,België,,1
177,Geert Belpaeme,110.0,,België,,15
178,Fred Vaillant,110.0,,België,,4
179,Betty Gilbert,109.0,,België,,11
180,Márton Ágh,110.0,,Hongarije,,17
181,Gonzalo Tejada,110.0,,Spanje,,1
182,Sarah Demoen,109.0,,België,,4
183,Tania Van der Sanden,109.0,Lokeren,België,,118
184,Arthur Reijnders,110.0,Bonheiden,België,,5
185,Jonas Tavernier,110.0,Ledeberg,België,,1
186,Jos Geens,110.0,Wilrijk,België,,169
187,Jan Vromman,110.0,Brussel,België,,15
188,Bette Westera,109.0,,Nederland,,5
189,Nico Laermans,110.0,,België,,1
190,Lode Pools,110.0,Lummen,België,,4
191,David Strosberg,110.0,Brussel,België,,38
192,Tom Hautekiet,110.0,Antwerpen,België,,9
193,Kristien Guns,109.0,Borgerhout,België,,10
194,Miquel Casaponsa,110.0,,België,,2
195,Dick van der Harst,110.0,,België,,92
196,Birgit De Clercq,109.0,Leuven,België,,1
197,Alain Pringels,110.0,Lokeren,België,,54
198,Valerie Le Roy,109.0,Staden,België,,9
199,Anton Wilsens,110.0,Schaarbeek,België,,4
200,Silbe Mijnlieff,110.0,,België,,1
201,Louis Vervoort,110.0,Schorisse,België,,6
202,Mathias Coppens,110.0,,België,,4
203,Romain Deconinck,110.0,Gent,België,,133
