,Ruimte,Straat en nummer,Postcode,Stad
243,GC Hoogendonck,Nijverheidslaan 48,9250,Waasmunster
244,Kunstencentrum Belgie,Burg. Bollenstraat 54/56,3500,Hasselt
245,Permeke,,,Antwerpen
246,Tinnenpot,Tinnenpotstraat 21,9000,Gent
247,CC Het Perron,,,Ieper
248,Theater Stap,Brugstraat 55,2300,Turnhout
249,Ruimte onbekend,,,Brugge
250,Vooruit,Sint-Pietersnieuwstraat 23,9000,Gent
251,CC De Velinx,Dijk 111 bus 2,3700,Tongeren
252,DOK,,9000,Gent
253,Marienstede,,,Dadizele
254,CC De Steiger,Waalvest 1,8930,Menen
255,Domein Raversijde,,,Raversijde
256,CC De Werf,Molenstraat 51,9300,Aalst
257,CC Kruispunt,Maria Doolaeghestraat 2 B,8600,Diksmuide
258,Paleis voor Schone Kunsten (PSK),Ravensteinstraat 23,1000,Brussel
259,Minnemeers,Minnemeers 8,9000,Gent
260,Koninklijke Villa,,,Oostende
261,Sint-Machariuskerk,,,Gent
262,De Nieuwe Vrede,,2600,Berchem
263,Tent Leopoldpark,,8400,Oostende
264,CC Deurne,,,Deurne
265,Théâtre National de la Communauté française,Boulevard Emile Jacqmain 111-115,1000,Bruxelles
266,Maison Folie,Rue des Arbalestriers 8,7000,Mons
267,Bibliotheek Oostende,,,Oostende
268,Provinciale Bibliotheek Hasselt,,,Hasselt
269,Dok Noord 4F,,,Gent
270,30CC,Brusselsestraat 63,3000,Leuven
271,Cultuurzaal - De Muze van Meise,Brusselsesteenweg 67,1860,Meise
272,CC De Steenoven,Kerkkouter 40,9550,Herzele
273,Klein Strand,,,Oostende
274,Cultuurkapel De Schaduw,Wezestraat 32,8850,Ardooie
275,cc René Magritte,rue de la Déportation,7860,Lessines
276,ccBe,Driekoningenstraat 126,2600,Berchem
277,Les Tanneurs,Rue des Tanneurs 75 - 77,1000,Bruxelles
278,CC DGP - Atelier +1,,,Oostende
279,Sint-Maartensdal,,,Leuven
280,Bibliotheek Ninove,,,Ninove
281,CC Lokeren,Torenstraat 1,9160,Lokeren
282,Les Ecuries,"65C, boulevard Mayence",6000,Charleroi
283,Rivierenhof - Deurne,,,Deurne
284,CC Roeselaere,,,Roeselare
285,deFENIKS,,,Mortsel
286,CC Temse,Antwerpsesteenweg 7,9140,Temse
287,Theater Tartaar,F. Baetennsstraat 55,1750,Lennik
288,Jeugdcentrum Togenblik,,,Beveren
289,Op locatie,,,Leuven
290,Podium Strand,,,Oostende
291,CC De Schakel,Schakelstraat 8,8790,Waregem
292,OC Marke,Hellestraat 6,8510,Marke
293,Vooruit - Domzaal,Sint-Pietersnieuwstraat 23,9000,Gent
294,GC Het Koetshuis,,,Roosdaal
295,Stedelijke Concertzaal de Bijloke,Bijlokekaai 7,9000,Gent
296,Op locatie,,,Menen
297,CKG Kapoentje,,,Oostende
298,Humorologie,Van Belleghemdreef 6,8510,Marke (Kortrijk)
299,Halve Maan,,,Oostende
300,GC De Bosuil,Witherendreef 1,3090,Jesus-Eik
301,Dansstudio Ultima Vez,Borrensstraat 34,1050,Elsene
302,Fieldworks,Koolmijnenkaai 30-34,1080,Brussel
303,Leopoldpark,,,Oostende
304,Jeugdtheaterhuis Larf!,Warandestraat 13,9000,Gent
305,Salle Jacques Huisman,,,Bruxelles
306,CC Ter Vesten,Gravenplein 2,9120,Beveren-Waas
307,Landcommanderij Alden Biesen,Kasteelstraat 6,3740,Bilzen
308,CC Zwaneberg,Bergstraat z/n,2220,Heist-op-den-Berg
